RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Reason for exiting company
340,15807923,Young,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,1,Excess Documents Required
341,15745844,Kerr,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1,High Service Charges/Rate of Interest
358,15661629,Ricci,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1,High Service Charges/Rate of Interest
362,15696674,Robinson,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,1,High Service Charges/Rate of Interest
377,15583456,Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1,High Service Charges/Rate of Interest
380,15629677,Distefano,687,Spain,Female,39,2,0.0,3,0,0,188150.6,1,High Service Charges/Rate of Interest
393,15573456,Cunningham,648,Spain,Male,46,9,127209.0,2,1,0,77405.95,1,High Service Charges/Rate of Interest
394,15684548,Demidov,556,Spain,Male,38,8,0.0,2,0,0,417.41,1,Long Response Times
400,15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1,Excess Documents Required
407,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1,High Service Charges/Rate of Interest
414,15801559,Chiang,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1,Excess Documents Required
417,15720559,Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1,Long Response Times
421,15810418,T'ang,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1,Inexperienced Staff / Bad customer service 
423,15674551,Fitch,535,Germany,Male,40,7,111756.5,1,1,0,8128.32,1,Long Response Times
430,15806467,Boyle,568,Germany,Male,40,1,99282.63,1,0,0,134600.94,1,Excess Documents Required
431,15597602,Nwachinemelu,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,1,Inexperienced Staff / Bad customer service 
434,15595039,Manna,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1,Long Response Times
445,15787470,Parkinson,553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1,Inexperienced Staff / Bad customer service 
449,15694860,Uspensky,675,France,Female,38,6,68065.8,1,0,0,138777.0,1,High Service Charges/Rate of Interest
459,15707362,Yin,514,Germany,Male,43,1,95556.31,1,0,1,199273.98,1,High Service Charges/Rate of Interest
464,15773792,Evans,662,France,Female,32,4,133950.37,1,1,1,48725.68,1,Inexperienced Staff / Bad customer service 
468,15593782,Brookes,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1,Long Response Times
472,15683625,Hare,703,France,Male,37,1,149762.08,1,1,0,20629.4,1,Excess Documents Required
476,15591986,Johnston,621,Germany,Male,46,6,141078.37,1,0,0,34580.8,1,Long Response Times
485,15676519,George,615,Spain,Male,61,9,0.0,2,1,0,150227.85,1,Long Response Times
488,15613772,Dalrymple,542,France,Male,39,3,135096.77,1,1,1,14353.43,1,Inexperienced Staff / Bad customer service 
494,15725679,Hsia,531,France,Female,47,6,0.0,1,0,0,194998.34,1,Inexperienced Staff / Bad customer service 
495,15585865,Westerberg,673,France,Female,38,2,170061.92,2,0,0,134901.34,1,Excess Documents Required
500,15677020,Selezneva,570,France,Female,58,8,0.0,1,0,1,116503.92,1,Long Response Times
503,15714485,Udinese,774,France,Male,60,5,85891.55,1,1,0,74135.48,1,Long Response Times
515,15682048,Pisano,605,France,Female,51,3,136188.78,1,1,1,67110.59,1,Long Response Times
517,15752081,Vassiliev,468,France,Female,56,10,0.0,3,0,1,62256.87,1,Long Response Times
519,15775912,Mazzanti,698,France,Male,48,4,101238.24,2,0,1,177815.87,1,High Service Charges/Rate of Interest
521,15671256,Macartney,850,France,Female,35,1,211774.31,1,1,0,188574.12,1,Long Response Times
529,15653849,Lu,572,Germany,Female,48,3,152827.99,1,1,0,38411.79,1,High Service Charges/Rate of Interest
536,15776780,He,608,France,Male,59,1,0.0,1,1,0,70649.64,1,Excess Documents Required
539,15794142,Ferreira,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1,High Service Charges/Rate of Interest
540,15762729,Ukaegbunam,745,Germany,Female,28,1,111071.36,1,1,0,73275.96,1,Long Response Times
544,15705953,Kodilinyechukwu,721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1,Inexperienced Staff / Bad customer service 
545,15802593,Little,504,France,Female,49,7,0.0,3,0,1,87822.14,1,High Service Charges/Rate of Interest
552,15657284,Day,674,Germany,Male,47,6,106901.94,1,1,1,2079.2,1,Excess Documents Required
556,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1,Excess Documents Required
558,15634844,Miller,598,Germany,Male,41,3,91536.93,1,1,0,191468.78,1,High Service Charges/Rate of Interest
564,15665956,Pendergrass,509,France,Female,46,1,0.0,1,1,0,71244.59,1,Long Response Times
567,15651674,Billson,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1,Long Response Times
572,15730076,Osborne,651,France,Male,45,1,0.0,1,1,0,67740.08,1,Long Response Times
574,15607312,Ch'ang,648,Spain,Female,49,10,0.0,2,1,1,159835.78,1,Inexperienced Staff / Bad customer service 
582,15737741,McKay,607,Spain,Female,33,2,108431.87,2,0,1,109291.39,1,High Service Charges/Rate of Interest
585,15803689,Begum,647,Germany,Female,51,1,119741.77,2,0,0,54954.51,1,Inexperienced Staff / Bad customer service 
586,15718057,Onyinyechukwuka,760,France,Female,51,2,100946.71,1,0,0,179614.8,1,Inexperienced Staff / Bad customer service 
587,15722010,Zuyev,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1,Excess Documents Required
590,15591047,Ma,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1,Long Response Times
591,15788291,Okwuadigbo,713,Germany,Female,38,7,144606.22,1,1,1,56594.36,1,High Service Charges/Rate of Interest
599,15637476,Alexandrova,683,Germany,Female,57,5,162448.69,1,0,0,9221.78,1,Excess Documents Required
601,15683503,Hudson,601,France,Female,43,8,0.0,3,0,1,110916.15,1,Inexperienced Staff / Bad customer service 
604,15592387,Burke,566,France,Male,30,5,0.0,1,1,0,54926.51,1,Excess Documents Required
616,15745295,Gether,727,Spain,Female,31,0,0.0,1,1,0,121751.04,1,Long Response Times
618,15766575,Larionova,612,Germany,Female,62,8,140745.33,1,1,0,193437.89,1,High Service Charges/Rate of Interest
631,15712403,McMillan,589,France,Female,61,1,0.0,1,1,0,61108.56,1,Excess Documents Required
632,15811762,Pickering,583,Germany,Female,54,6,115988.86,1,1,0,57553.98,1,Long Response Times
635,15738181,Douglas,850,France,Male,31,6,67996.23,2,0,0,50129.87,1,Excess Documents Required
641,15784844,K'ung,752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1,High Service Charges/Rate of Interest
644,15640078,Chambers,660,Germany,Female,39,5,135134.99,1,1,0,173683.0,1,Long Response Times
645,15698786,Marcelo,819,France,Female,39,9,133102.92,1,1,0,27046.46,1,High Service Charges/Rate of Interest
646,15569807,Ejimofor,673,France,Female,34,8,42157.08,1,1,0,20598.59,1,Long Response Times
654,15664610,Campbell,459,Germany,Male,48,4,133994.52,1,1,1,19287.06,1,Long Response Times
678,15715142,Repina,739,Germany,Male,45,7,102703.62,1,0,1,147802.94,1,Excess Documents Required
686,15600337,Dobie,661,Spain,Male,42,2,178820.91,1,0,0,29358.57,1,Inexperienced Staff / Bad customer service 
688,15579334,Watkins,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1,High Service Charges/Rate of Interest
689,15802741,Mitchel,625,France,Female,51,7,136294.97,1,1,0,38867.46,1,High Service Charges/Rate of Interest
697,15727299,Edgar,445,Spain,Male,62,1,64119.38,1,1,1,76569.64,1,High Service Charges/Rate of Interest
698,15620204,Walker,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1,High Service Charges/Rate of Interest
706,15580148,Welch,750,Germany,Male,40,5,168286.81,3,1,0,20451.99,1,Long Response Times
715,15807609,Yuan,650,Spain,Female,25,3,86605.5,3,1,0,16649.31,1,High Service Charges/Rate of Interest
721,15721658,Fleming,672,Spain,Female,56,2,209767.31,2,1,1,150694.42,1,Inexperienced Staff / Bad customer service 
722,15578761,Cunningham,459,Spain,Female,42,6,129634.25,2,1,1,177683.02,1,Excess Documents Required
730,15612525,Preston,499,France,Female,57,1,0.0,1,0,0,131372.38,1,Inexperienced Staff / Bad customer service 
734,15744607,Martin,738,Germany,Male,43,9,121152.05,2,1,0,64166.7,1,Long Response Times
735,15612966,Milani,545,Germany,Female,60,7,128981.07,1,0,1,176924.21,1,High Service Charges/Rate of Interest
744,15641675,Kirillova,611,France,Female,49,2,88915.37,3,0,0,161435.02,1,Inexperienced Staff / Bad customer service 
762,15582741,Maclean,693,France,Female,35,5,124151.09,1,1,0,88705.14,1,Excess Documents Required
763,15637876,Burns,663,Germany,Female,36,6,77253.5,1,0,0,35817.97,1,High Service Charges/Rate of Interest
765,15672056,Kenenna,710,Germany,Male,43,2,140080.32,3,1,1,157908.19,1,High Service Charges/Rate of Interest
768,15677921,Bobrov,720,Germany,Male,60,9,115920.62,2,0,0,157552.08,1,Long Response Times
770,15685329,McKenzie,531,France,Female,63,1,114715.71,1,0,1,24506.95,1,High Service Charges/Rate of Interest
771,15584091,Pitts,742,Germany,Female,36,2,129748.54,2,0,0,47271.61,1,High Service Charges/Rate of Interest
775,15789158,Nikitina,636,Germany,Male,49,6,113599.74,2,1,0,158887.09,1,Excess Documents Required
777,15712551,Shen,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1,Inexperienced Staff / Bad customer service 
778,15628936,Archer,692,Spain,Male,28,9,118945.09,1,0,0,16064.25,1,Long Response Times
785,15571221,Bergamaschi,747,Germany,Male,58,7,116313.57,1,1,1,190696.35,1,Excess Documents Required
806,15756026,Hooper,790,Spain,Female,46,9,0.0,1,0,0,14679.81,1,Excess Documents Required
814,15775306,Ni,421,Germany,Male,28,8,122384.22,3,1,1,89017.38,1,High Service Charges/Rate of Interest
818,15806438,Chiabuotu,580,Germany,Female,42,2,123331.36,1,0,0,103516.08,1,Inexperienced Staff / Bad customer service 
824,15757811,Lloyd,732,Spain,Female,69,9,137453.43,1,0,1,110932.24,1,Long Response Times
839,15585888,Nwokezuike,553,Spain,Female,48,3,0.0,1,0,1,30730.95,1,Excess Documents Required
841,15707567,Esposito,732,Germany,Male,50,6,145338.76,1,0,0,91936.1,1,High Service Charges/Rate of Interest
844,15672012,Jen,773,Spain,Female,41,5,0.0,1,1,0,28266.9,1,Excess Documents Required
852,15794048,Wan,667,Germany,Female,48,1,97133.92,2,0,0,113316.77,1,High Service Charges/Rate of Interest
857,15693864,Iheanacho,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,1,Inexperienced Staff / Bad customer service 
860,15809087,Landry,598,France,Male,64,1,0.0,2,1,0,195635.3,1,Inexperienced Staff / Bad customer service 
861,15807663,McGregor,667,France,Male,43,8,190227.46,1,1,0,97508.04,1,Long Response Times
862,15809100,Nucci,548,France,Female,32,2,172448.77,1,1,0,188083.77,1,High Service Charges/Rate of Interest
868,15756804,O'Loghlen,636,France,Female,48,1,170833.46,1,1,0,110510.28,1,High Service Charges/Rate of Interest
869,15646810,Quinn,603,Germany,Male,44,6,108122.39,2,1,0,108488.33,1,Long Response Times
872,15692750,McGregor,629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1,Long Response Times
881,15585362,Simmons,749,France,Female,60,6,0.0,1,1,0,17978.68,1,Long Response Times
882,15571928,Fraser,679,France,Female,43,4,0.0,3,1,0,115136.51,1,High Service Charges/Rate of Interest
884,15743007,Seabrook,643,France,Female,45,4,45144.43,1,1,0,60917.24,1,Excess Documents Required
894,15772781,Ball,703,France,Female,51,3,0.0,3,1,1,77294.56,1,Excess Documents Required
895,15669987,Sung,728,Germany,Female,35,8,125884.95,2,1,0,54359.02,1,High Service Charges/Rate of Interest
899,15654700,Fallaci,523,France,Female,40,2,102967.41,1,1,0,128702.1,1,High Service Charges/Rate of Interest
901,15642041,Burns,727,Germany,Male,40,1,93051.64,2,1,0,71865.31,1,Inexperienced Staff / Bad customer service 
905,15794580,Ch'en,599,France,Male,58,4,0.0,1,0,0,176407.15,1,Long Response Times
906,15675964,Chukwukadibia,672,France,Female,45,9,0.0,1,1,1,92027.69,1,Long Response Times
908,15724848,Oluchukwu,516,France,Female,46,1,104947.72,1,1,0,115789.25,1,High Service Charges/Rate of Interest
917,15792328,James,475,France,Male,39,6,0.0,1,1,1,56999.9,1,Long Response Times
922,15743411,Chiawuotu,609,Spain,Male,61,1,0.0,1,1,0,22447.85,1,Inexperienced Staff / Bad customer service 
923,15753337,Yeates,555,France,Male,51,5,0.0,3,1,0,189122.89,1,Long Response Times
934,15737795,Scott,512,Spain,Male,36,1,0.0,1,0,1,135482.26,1,Inexperienced Staff / Bad customer service 
937,15613630,Tang,775,France,Male,52,8,109922.61,1,1,1,96823.32,1,High Service Charges/Rate of Interest
943,15804586,Lin,376,France,Female,46,6,0.0,1,1,0,157333.69,1,Long Response Times
947,15745324,Milani,599,Spain,Female,39,4,0.0,1,1,0,194273.2,1,Excess Documents Required
948,15741336,Ejimofor,715,France,Female,38,5,118590.41,1,1,1,5684.17,1,Inexperienced Staff / Bad customer service 
950,15620981,Wickham,684,France,Female,48,3,73309.38,1,0,0,21228.34,1,Long Response Times
955,15660429,Ch'in,665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1,Inexperienced Staff / Bad customer service 
964,15731815,Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1,High Service Charges/Rate of Interest
965,15580956,McNess,683,Germany,Female,43,4,115888.04,1,1,1,117349.19,1,Excess Documents Required
977,15570060,Palerma,586,France,Female,43,8,132558.26,1,1,0,67046.83,1,High Service Charges/Rate of Interest
984,15807008,McGregor,614,Germany,Female,35,6,128100.28,1,0,0,69454.24,1,Inexperienced Staff / Bad customer service 
988,15613749,Lees,569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1,High Service Charges/Rate of Interest
990,15681206,Hsing,722,France,Female,49,3,168197.66,1,1,0,140765.57,1,Long Response Times
1004,15701301,Murphy,646,France,Female,42,3,175159.9,2,0,0,67124.48,1,Inexperienced Staff / Bad customer service 
1006,15701602,Ayers,521,Germany,Male,52,5,116497.31,3,0,0,53793.1,1,Excess Documents Required
1009,15569050,Farrell,444,France,Male,45,6,0.0,1,1,0,130009.85,1,Inexperienced Staff / Bad customer service 
1011,15799811,Herrera,724,France,Male,40,10,0.0,1,1,0,127847.25,1,Long Response Times
1016,15686936,McGregor,676,France,Female,37,5,89634.69,1,1,1,169583.18,1,Excess Documents Required
1019,15602010,Zikoranaudodimma,850,Germany,Female,45,5,103909.86,1,1,0,60083.11,1,Excess Documents Required
1021,15654673,Onyinyechukwuka,625,France,Male,49,6,173434.9,1,1,0,165580.93,1,Long Response Times
1043,15593969,Abramovich,630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1,Excess Documents Required
1047,15644200,Hamilton,807,Spain,Female,42,1,0.0,1,1,0,16500.66,1,Inexperienced Staff / Bad customer service 
1048,15793949,Cheng,726,France,Female,48,4,0.0,1,1,0,114020.06,1,High Service Charges/Rate of Interest
1050,15705860,McKenzie,631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1,Inexperienced Staff / Bad customer service 
1058,15706534,Enyinnaya,581,France,Female,47,1,122949.14,1,0,0,180251.68,1,High Service Charges/Rate of Interest
1063,15631189,Riggs,613,Germany,Male,38,9,67111.65,1,1,0,78566.64,1,Long Response Times
1066,15692744,Davison,512,France,Male,36,4,152169.12,2,0,0,38629.3,1,Inexperienced Staff / Bad customer service 
1067,15688963,Ingram,731,France,Female,52,10,0.0,1,1,1,24998.75,1,High Service Charges/Rate of Interest
1069,15680303,Gibson,594,France,Male,57,6,0.0,1,1,0,19376.56,1,High Service Charges/Rate of Interest
1070,15628674,Iadanza,844,France,Male,40,7,113348.14,1,1,0,31904.31,1,Long Response Times
1071,15648075,Hebert,686,Germany,Female,47,5,170935.94,1,1,0,173179.79,1,High Service Charges/Rate of Interest
1083,15663438,Andrejew,688,Spain,Male,36,0,89772.3,1,1,0,177383.68,1,Long Response Times
1086,15646513,Spyer,803,France,Male,42,5,0.0,1,1,0,196466.83,1,Long Response Times
1087,15708063,Walker,712,France,Male,36,2,100749.5,3,0,0,70758.37,1,High Service Charges/Rate of Interest
1093,15585198,Bergamaschi,715,France,Male,41,4,94267.9,1,0,1,152821.12,1,High Service Charges/Rate of Interest
1096,15689081,Wu,692,France,Male,29,4,0.0,1,1,0,76755.99,1,Long Response Times
1097,15813168,Maslova,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1,Inexperienced Staff / Bad customer service 
1108,15660316,Stephenson,420,Germany,Female,34,1,135549.9,1,0,0,149471.13,1,High Service Charges/Rate of Interest
1111,15592229,Mullan,713,France,Female,52,0,185891.54,1,1,1,46369.57,1,Long Response Times
1112,15798424,Glover,833,Germany,Male,59,1,130854.59,1,1,1,30722.52,1,High Service Charges/Rate of Interest
1114,15648800,Paterson,731,Germany,Female,21,8,132312.06,1,1,0,106663.46,1,Inexperienced Staff / Bad customer service 
1115,15626147,Maclean,608,France,Female,62,8,144976.5,1,0,0,175836.03,1,High Service Charges/Rate of Interest
1118,15592583,Colman,731,France,Female,47,1,115414.19,3,0,0,191734.67,1,High Service Charges/Rate of Interest
1123,15789955,Hu,698,Germany,Male,56,1,112414.81,2,0,0,93982.02,1,Excess Documents Required
1124,15596800,Hill,779,Germany,Male,33,1,158456.76,1,1,1,197000.92,1,Inexperienced Staff / Bad customer service 
1125,15627305,Pan,606,Spain,Male,35,7,0.0,1,1,0,106837.06,1,Inexperienced Staff / Bad customer service 
1130,15685309,Souter,669,France,Female,35,7,0.0,1,1,1,49108.23,1,Long Response Times
1141,15566251,Ferrari,618,France,Female,37,5,96652.86,1,1,0,98686.4,1,Inexperienced Staff / Bad customer service 
1145,15694821,Hardy,765,Germany,Male,43,4,148962.76,1,0,1,173878.87,1,Excess Documents Required
1154,15669899,Fitts,755,Germany,Female,45,7,135643.0,1,0,0,143619.52,1,Inexperienced Staff / Bad customer service 
1159,15690007,Ts'ui,434,Germany,Female,58,9,125801.03,2,1,0,60891.8,1,Excess Documents Required
1161,15719348,Tsao,513,France,Male,35,8,0.0,1,1,0,76640.29,1,Excess Documents Required
1162,15781802,Abramov,755,France,Male,41,6,104817.41,1,1,0,126013.58,1,Excess Documents Required
1172,15640454,Parkhill,693,Germany,Male,40,0,120711.73,1,0,0,27345.18,1,High Service Charges/Rate of Interest
1175,15588670,Despeissis,705,Spain,Female,40,5,203715.15,1,1,0,179978.68,1,Excess Documents Required
1179,15782454,Hancock,552,France,Male,49,4,0.0,1,1,1,190296.76,1,Inexperienced Staff / Bad customer service 
1183,15755638,Mancini,673,France,Female,43,5,168069.73,1,1,1,146992.24,1,Excess Documents Required
1188,15719302,Brennan,765,France,Female,50,9,126547.8,1,1,1,79579.94,1,Long Response Times
1190,15791279,Murray,701,France,Male,40,5,169742.64,1,1,1,153537.55,1,High Service Charges/Rate of Interest
1193,15589572,Otutodilichukwu,785,Spain,Female,61,4,129855.72,2,1,0,170214.82,1,Inexperienced Staff / Bad customer service 
1194,15779947,Thomas,363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1,Long Response Times
1202,15651052,McMasters,399,Germany,Male,46,2,127655.22,1,1,0,139994.68,1,Inexperienced Staff / Bad customer service 
1211,15658969,Gray,711,France,Male,51,7,0.0,3,1,0,38409.79,1,High Service Charges/Rate of Interest
1213,15813590,Vance,610,Spain,Male,42,6,0.0,2,1,0,158302.59,1,High Service Charges/Rate of Interest
1215,15674148,Milanesi,579,Spain,Male,33,6,0.0,1,1,0,94993.04,1,Long Response Times
1216,15625080,Parkin,745,Spain,Female,54,8,0.0,1,1,0,173912.29,1,Long Response Times
